,stid,Surface height from combined measurements,Surface height from combined measurements DELTA,Ablation,Melting Season,PC1,PC2,PC3,PC4
91,SCO_L,-9.881833333333336,-0.0440000000000004,True,middle,-0.8560554161746394,0.3372192744995963,0.01175523359348015,-0.10891653636833705
92,SCO_L,-9.922708333333334,-0.0390000000000014,True,middle,-0.8880774400361896,0.23457453946940446,-0.04767346178786538,-0.045494144218631606
93,SCO_L,-9.96,-0.0310000000000005,True,middle,-0.8183124064758324,0.42730183063227517,-0.010178461214309608,-0.07594664454110853
94,SCO_L,-9.992666666666668,-0.0359999999999995,True,middle,-0.7616082680621841,0.5496041881045277,0.06966842218361498,-0.06421817286087135
95,SCO_L,-10.02325,-0.0289999999999999,True,middle,-0.6542043840544316,0.7364506509506501,0.12584637533570586,-0.07420230790597729
96,SCO_L,-10.052125,-0.0300000000000011,True,middle,-0.5173372327406869,0.9024254720624112,0.17436551992255495,-0.043891683248763705
97,SCO_L,-10.086416666666668,-0.0379999999999984,True,middle,-0.6178150151563077,0.7793687267535545,0.1089788334775294,-0.04735150083979403
98,SCO_L,-10.123166666666668,-0.0410000000000003,True,middle,-0.619723579769584,0.7876428653160799,0.0582030363266217,-0.13842470609976593
99,SCO_L,-10.166,-0.036999999999999,True,middle,-0.7428096127611524,0.5736040309644845,-0.1873119228649691,-0.1127145438200006
100,SCO_L,-10.202375,-0.032,True,middle,-0.7276546615668572,0.5957473919115966,-0.10264971682691114,-0.007184802158889122
101,SCO_L,-10.229833333333334,-0.0289999999999999,True,middle,-0.8053104619638473,0.4006157301354602,0.20569291083945954,0.03937798422291952
102,SCO_L,-10.259833333333331,-0.0280000000000004,True,middle,-0.8444294934843405,-0.04845800509631227,0.19154366434518902,0.08068986940636197
103,SCO_L,-10.286625,-0.0129999999999999,True,middle,-0.759477037400341,0.5202062393732292,-0.3535290740499298,0.035094567108450166
104,SCO_L,-10.306833333333334,-0.0139999999999993,True,middle,-0.7695694916533223,0.4730103090386905,-0.5535750727216735,-0.0013259267877841392
105,SCO_L,-10.323,-0.0259999999999998,True,middle,-0.926176745824564,-0.31454879896527965,-0.6066220363870061,-0.10469902651589624
106,SCO_L,-10.34875,-0.0220000000000002,True,middle,-0.9372965290797322,0.16061373050396185,-0.7370766932438525,-0.0677441452984139
107,SCO_L,-10.376791666666668,-0.032,True,middle,-0.9450012733604243,0.05406202372374033,-0.6178511473987505,-0.07282335033249362
108,SCO_L,-10.396,-0.0229999999999996,True,middle,-0.8137021888044925,0.4068049360373472,-0.44705028677975284,0.06270794055742149
109,SCO_L,-10.412833333333332,-0.0090000000000003,True,middle,-0.7190732314500088,0.5671351154108255,-0.2636164210358132,0.1765981737961982
110,SCO_L,-10.428458333333332,-0.0120000000000004,True,middle,-0.7368151438895308,0.5445785707790654,-0.33142037366909816,0.1712355558737918
111,SCO_L,-10.437833333333334,-0.0129999999999999,True,middle,-0.8717514005037822,0.26146348108875217,-0.3551582052547546,0.06724950808281668
112,SCO_L,-10.450875,-0.0069999999999996,True,middle,-0.5654702348282175,0.8131458765240264,0.27120955977691386,0.36323470956654397
113,SCO_L,-10.462541666666668,-0.0259999999999998,True,middle,-0.5848823738133796,0.7867810226467118,0.29524915462126045,0.4505441997619554
114,SCO_L,-10.477291666666668,-0.0050000000000007,True,middle,-0.6595372350677613,0.6674978644514065,0.20950979436199058,0.5362267637431938
115,SCO_L,-10.488041666666666,-0.0080000000000008,True,middle,-0.5913516344443851,-0.537806817870378,0.19636925798443464,0.4621083393851522
116,SCO_L,-10.495125,-0.004999999999999,True,middle,-0.8357887053864286,-0.1818871159045556,0.06810130078689136,0.2972159663221861
117,SCO_L,-10.505375,-0.0139999999999993,True,middle,-0.8425914855360965,-0.26735462128292214,-0.08625216157655144,0.280505729462563
118,SCO_L,-10.518916666666668,-0.0060000000000002,True,middle,-0.8656858360270163,-0.22620611981706445,-0.11567148465062203,0.22619395970285125
119,SCO_L,-10.529583333333331,-0.0060000000000002,True,middle,-0.24936157510868837,-1.0635336000829145,-0.6571216965184162,0.0006951424233731901
120,SCO_L,-10.537875,-0.0069999999999996,True,end,-0.43723062602936746,-0.9510711463973084,-0.5524863194083617,0.03564317336270546
